Production_Stage,Record_Count,Avg_RPM,Avg_Temp,Avg_Pressure,Avg_TFE_Flow,Avg_Ethane_Flow,Avg_Initiator_Flow,Avg_PPVE_Flow,Pct_of_Total
Reaction,16549,23.43,72.27,20.11,4.53,22.44,81.49,0.25,37.4
Box-Up,11788,8.74,51.8,0.24,0.23,3.82,133.39,0.07,26.6
Unclassified,6344,19.81,66.39,8.72,2.01,3.96,13.89,0.05,14.3
Recovery,3889,5.03,64.11,6.34,0.79,3.95,2.32,0.27,8.8
Initiator,1911,23.31,71.25,5.23,1.31,3.91,919.06,0.08,4.3
PPVE,1228,23.28,71.82,6.45,2.06,3.92,466.8,1.61,2.8
Ethane Dosing,909,25.32,71.15,1.02,0.3,2298.03,3.98,0.01,2.1
DI Water,843,0.41,45.98,0.02,0.21,3.93,1.73,-0.01,1.9
TFE Pressurization,662,22.89,71.46,8.88,3.11,3.92,0.01,0.0,1.5
Vacuum,157,24.11,62.43,0.62,0.21,3.84,-4.65,-0.01,0.4
